Year,City,Sport,Discipline,Country,Gender,Event,Medal
1976,Innsbruck,Biathlon,Biathlon,FIN,Men,4X7.5KM Relay,Silver
1976,Innsbruck,Biathlon,Biathlon,GDR,Men,4X7.5KM Relay,Bronze
1976,Innsbruck,Biathlon,Biathlon,URS,Men,4X7.5KM Relay,Gold
1976,Innsbruck,Bobsleigh,Bobsleigh,FRG,Men,Four-Man,Bronze
1976,Innsbruck,Bobsleigh,Bobsleigh,FRG,Men,Two-Man,Silver
1976,Innsbruck,Bobsleigh,Bobsleigh,GDR,Men,Four-Man,Gold
1976,Innsbruck,Bobsleigh,Bobsleigh,GDR,Men,Two-Man,Gold
1976,Innsbruck,Bobsleigh,Bobsleigh,SUI,Men,Four-Man,Silver
1976,Innsbruck,Bobsleigh,Bobsleigh,SUI,Men,Two-Man,Bronze
1976,Innsbruck,Ice Hockey,Ice Hockey,FRG,Men,Ice Hockey,Bronze
1976,Innsbruck,Ice Hockey,Ice Hockey,TCH,Men,Ice Hockey,Silver
1976,Innsbruck,Ice Hockey,Ice Hockey,URS,Men,Ice Hockey,Gold
1976,Innsbruck,Luge,Luge,FRG,Men,Singles,Silver
1976,Innsbruck,Luge,Luge,FRG,Women,Singles,Bronze
1976,Innsbruck,Luge,Luge,GDR,Men,Singles,Bronze
1976,Innsbruck,Luge,Luge,GDR,Men,Singles,Gold
1976,Innsbruck,Luge,Luge,GDR,Women,Singles,Gold
1976,Innsbruck,Luge,Luge,GDR,Women,Singles,Silver
1976,Innsbruck,Luge,Luge,AUT,Men,Doubles,Bronze
1976,Innsbruck,Luge,Luge,FRG,Men,Doubles,Silver
1976,Innsbruck,Luge,Luge,GDR,Men,Doubles,Gold
1976,Innsbruck,Skating,Figure skating,CAN,Men,Individual,Bronze
1976,Innsbruck,Skating,Figure skating,GBR,Men,Individual,Gold
1976,Innsbruck,Skating,Figure skating,GDR,Men,Pairs,Bronze
1976,Innsbruck,Skating,Figure skating,GDR,Men,Pairs,Silver
1976,Innsbruck,Skating,Figure skating,GDR,Women,Individual,Bronze
1976,Innsbruck,Skating,Figure skating,GDR,Women,Pairs,Bronze
1976,Innsbruck,Skating,Figure skating,GDR,Women,Pairs,Silver
1976,Innsbruck,Skating,Figure skating,NED,Women,Individual,Silver
1976,Innsbruck,Skating,Figure skating,URS,Men,Ice Dancing,Gold
1976,Innsbruck,Skating,Figure skating,URS,Men,Ice Dancing,Silver
1976,Innsbruck,Skating,Figure skating,URS,Men,Individual,Silver
1976,Innsbruck,Skating,Figure skating,URS,Men,Pairs,Gold
1976,Innsbruck,Skating,Figure skating,URS,Women,Ice Dancing,Gold
1976,Innsbruck,Skating,Figure skating,URS,Women,Ice Dancing,Silver
1976,Innsbruck,Skating,Figure skating,URS,Women,Pairs,Gold
1976,Innsbruck,Skating,Figure skating,USA,Men,Ice Dancing,Bronze
1976,Innsbruck,Skating,Figure skating,USA,Women,Ice Dancing,Bronze
1976,Innsbruck,Skating,Figure skating,USA,Women,Individual,Gold
1976,Innsbruck,Skating,Speed skating,CAN,Women,500M,Silver
1976,Innsbruck,Skating,Speed skating,GDR,Women,3000M,Silver
1976,Innsbruck,Skating,Speed skating,NED,Men,10000M,Bronze
1976,Innsbruck,Skating,Speed skating,NED,Men,10000M,Gold
1976,Innsbruck,Skating,Speed skating,NED,Men,1500M,Bronze
1976,Innsbruck,Skating,Speed skating,NED,Men,5000M,Bronze
1976,Innsbruck,Skating,Speed skating,NED,Men,5000M,Silver
1976,Innsbruck,Skating,Speed skating,NOR,Men,10000M,Silver
1976,Innsbruck,Skating,Speed skating,NOR,Men,1000M,Silver
1976,Innsbruck,Skating,Speed skating,NOR,Men,1500M,Gold
1976,Innsbruck,Skating,Speed skating,NOR,Men,5000M,Gold
1976,Innsbruck,Skating,Speed skating,NOR,Women,3000M,Bronze
1976,Innsbruck,Skating,Speed skating,URS,Men,1000M,Bronze
1976,Innsbruck,Skating,Speed skating,URS,Men,1500M,Silver
1976,Innsbruck,Skating,Speed skating,URS,Men,500M,Gold
1976,Innsbruck,Skating,Speed skating,URS,Men,500M,Silver
1976,Innsbruck,Skating,Speed skating,URS,Women,1000M,Gold
1976,Innsbruck,Skating,Speed skating,URS,Women,1500M,Bronze
1976,Innsbruck,Skating,Speed skating,URS,Women,1500M,Gold
1976,Innsbruck,Skating,Speed skating,URS,Women,3000M,Gold
1976,Innsbruck,Skating,Speed skating,URS,Women,500M,Bronze
1976,Innsbruck,Skating,Speed skating,USA,Men,1000M,Gold
1976,Innsbruck,Skating,Speed skating,USA,Men,500M,Bronze
1976,Innsbruck,Skating,Speed skating,USA,Women,1000M,Bronze
1976,Innsbruck,Skating,Speed skating,USA,Women,1000M,Silver
1976,Innsbruck,Skating,Speed skating,USA,Women,1500M,Silver
1976,Innsbruck,Skating,Speed skating,USA,Women,500M,Gold
1976,Innsbruck,Skiing,Alpine Skiing,AUT,Men,Downhill,Gold
1976,Innsbruck,Skiing,Alpine Skiing,AUT,Women,Downhill,Silver
1976,Innsbruck,Skiing,Alpine Skiing,CAN,Women,Giant Slalom,Gold
1976,Innsbruck,Skiing,Alpine Skiing,FRA,Women,Giant Slalom,Bronze
1976,Innsbruck,Skiing,Alpine Skiing,FRG,Women,Downhill,Gold
1976,Innsbruck,Skiing,Alpine Skiing,FRG,Women,Giant Slalom,Silver
1976,Innsbruck,Skiing,Alpine Skiing,FRG,Women,Slalom,Gold
1976,Innsbruck,Skiing,Alpine Skiing,ITA,Men,Downhill,Bronze
1976,Innsbruck,Skiing,Alpine Skiing,ITA,Men,Slalom,Gold
1976,Innsbruck,Skiing,Alpine Skiing,ITA,Men,Slalom,Silver
1976,Innsbruck,Skiing,Alpine Skiing,ITA,Women,Slalom,Silver
1976,Innsbruck,Skiing,Alpine Skiing,LIE,Men,Slalom,Bronze
1976,Innsbruck,Skiing,Alpine Skiing,LIE,Women,Slalom,Bronze
1976,Innsbruck,Skiing,Alpine Skiing,SUI,Men,Downhill,Silver
1976,Innsbruck,Skiing,Alpine Skiing,SUI,Men,Giant Slalom,Gold
1976,Innsbruck,Skiing,Alpine Skiing,SUI,Men,Giant Slalom,Silver
1976,Innsbruck,Skiing,Alpine Skiing,SWE,Men,Giant Slalom,Bronze
1976,Innsbruck,Skiing,Alpine Skiing,USA,Women,Downhill,Bronze
1976,Innsbruck,Skiing,Cross Country Skiing,FIN,Men,15KM,Bronze
1976,Innsbruck,Skiing,Cross Country Skiing,FIN,Women,10KM,Silver
1976,Innsbruck,Skiing,Cross Country Skiing,FIN,Women,5KM,Gold
1976,Innsbruck,Skiing,Cross Country Skiing,GDR,Men,50KM,Silver
1976,Innsbruck,Skiing,Cross Country Skiing,NOR,Men,50KM,Gold
1976,Innsbruck,Skiing,Cross Country Skiing,SWE,Men,50KM,Bronze
1976,Innsbruck,Skiing,Cross Country Skiing,URS,Men,15KM,Gold
1976,Innsbruck,Skiing,Cross Country Skiing,URS,Men,15KM,Silver
1976,Innsbruck,Skiing,Cross Country Skiing,URS,Men,30KM Mass Start,Bronze
1976,Innsbruck,Skiing,Cross Country Skiing,URS,Men,30KM Mass Start,Gold
1976,Innsbruck,Skiing,Cross Country Skiing,URS,Women,10KM,Bronze
1976,Innsbruck,Skiing,Cross Country Skiing,URS,Women,10KM,Gold
1976,Innsbruck,Skiing,Cross Country Skiing,URS,Women,5KM,Bronze
1976,Innsbruck,Skiing,Cross Country Skiing,URS,Women,5KM,Silver
1976,Innsbruck,Skiing,Cross Country Skiing,USA,Men,30KM Mass Start,Silver
1976,Innsbruck,Skiing,Cross Country Skiing,FIN,Men,4X10KM Relay,Gold
1976,Innsbruck,Skiing,Cross Country Skiing,FIN,Women,4X5KM Relay,Silver
1976,Innsbruck,Skiing,Cross Country Skiing,GDR,Women,4X5KM Relay,Bronze
1976,Innsbruck,Skiing,Cross Country Skiing,NOR,Men,4X10KM Relay,Silver
1976,Innsbruck,Skiing,Cross Country Skiing,URS,Men,4X10KM Relay,Bronze
1976,Innsbruck,Skiing,Cross Country Skiing,URS,Women,4X5KM Relay,Gold
1976,Innsbruck,Skiing,Nordic Combined,FRG,Men,Individual,Silver
1976,Innsbruck,Skiing,Nordic Combined,GDR,Men,Individual,Bronze
1976,Innsbruck,Skiing,Nordic Combined,GDR,Men,Individual,Gold
1976,Innsbruck,Skiing,Ski Jumping,AUT,Men,K120 Individual (90M),Gold
1976,Innsbruck,Skiing,Ski Jumping,AUT,Men,K120 Individual (90M),Silver
1976,Innsbruck,Skiing,Ski Jumping,AUT,Men,K90 Individual (70M),Bronze
1976,Innsbruck,Skiing,Ski Jumping,GDR,Men,K120 Individual (90M),Bronze
1976,Innsbruck,Skiing,Ski Jumping,GDR,Men,K90 Individual (70M),Gold
1976,Innsbruck,Skiing,Ski Jumping,GDR,Men,K90 Individual (70M),Silver
1980,Lake Placid,Biathlon,Biathlon,GDR,Men,10KM,Gold
1980,Lake Placid,Biathlon,Biathlon,GDR,Men,20KM,Bronze
1980,Lake Placid,Biathlon,Biathlon,GDR,Men,20KM,Silver
1980,Lake Placid,Biathlon,Biathlon,URS,Men,10KM,Bronze
1980,Lake Placid,Biathlon,Biathlon,URS,Men,10KM,Silver
1980,Lake Placid,Biathlon,Biathlon,URS,Men,20KM,Gold
1980,Lake Placid,Biathlon,Biathlon,FRG,Men,4X7.5KM Relay,Bronze
1980,Lake Placid,Biathlon,Biathlon,GDR,Men,4X7.5KM Relay,Silver
1980,Lake Placid,Biathlon,Biathlon,URS,Men,4X7.5KM Relay,Gold
1980,Lake Placid,Bobsleigh,Bobsleigh,GDR,Men,Four-Man,Bronze
1980,Lake Placid,Bobsleigh,Bobsleigh,GDR,Men,Four-Man,Gold
1980,Lake Placid,Bobsleigh,Bobsleigh,GDR,Men,Two-Man,Bronze
1980,Lake Placid,Bobsleigh,Bobsleigh,GDR,Men,Two-Man,Silver
1980,Lake Placid,Bobsleigh,Bobsleigh,SUI,Men,Four-Man,Silver
1980,Lake Placid,Bobsleigh,Bobsleigh,SUI,Men,Two-Man,Gold
1980,Lake Placid,Ice Hockey,Ice Hockey,SWE,Men,Ice Hockey,Bronze
1980,Lake Placid,Ice Hockey,Ice Hockey,URS,Men,Ice Hockey,Silver
1980,Lake Placid,Ice Hockey,Ice Hockey,USA,Men,Ice Hockey,Gold
1980,Lake Placid,Luge,Luge,FRG,Men,Singles,Bronze
1980,Lake Placid,Luge,Luge,GDR,Men,Singles,Gold
1980,Lake Placid,Luge,Luge,GDR,Women,Singles,Silver
1980,Lake Placid,Luge,Luge,ITA,Men,Singles,Silver
1980,Lake Placid,Luge,Luge,URS,Women,Singles,Bronze
1980,Lake Placid,Luge,Luge,URS,Women,Singles,Gold
1980,Lake Placid,Luge,Luge,AUT,Men,Doubles,Bronze
1980,Lake Placid,Luge,Luge,GDR,Men,Doubles,Gold
1980,Lake Placid,Luge,Luge,ITA,Men,Doubles,Silver
1980,Lake Placid,Skating,Figure skating,FRG,Women,Individual,Bronze
1980,Lake Placid,Skating,Figure skating,GBR,Men,Individual,Gold
1980,Lake Placid,Skating,Figure skating,GDR,Men,Individual,Silver
1980,Lake Placid,Skating,Figure skating,GDR,Men,Pairs,Bronze
1980,Lake Placid,Skating,Figure skating,GDR,Women,Individual,Gold
1980,Lake Placid,Skating,Figure skating,GDR,Women,Pairs,Bronze
1980,Lake Placid,Skating,Figure skating,HUN,Men,Ice Dancing,Silver
1980,Lake Placid,Skating,Figure skating,HUN,Women,Ice Dancing,Silver
1980,Lake Placid,Skating,Figure skating,URS,Men,Ice Dancing,Bronze
1980,Lake Placid,Skating,Figure skating,URS,Men,Ice Dancing,Gold
1980,Lake Placid,Skating,Figure skating,URS,Men,Pairs,Gold
1980,Lake Placid,Skating,Figure skating,URS,Men,Pairs,Silver
1980,Lake Placid,Skating,Figure skating,URS,Women,Ice Dancing,Bronze
1980,Lake Placid,Skating,Figure skating,URS,Women,Ice Dancing,Gold
1980,Lake Placid,Skating,Figure skating,URS,Women,Pairs,Gold
1980,Lake Placid,Skating,Figure skating,URS,Women,Pairs,Silver
1980,Lake Placid,Skating,Figure skating,USA,Men,Individual,Bronze
1980,Lake Placid,Skating,Figure skating,USA,Women,Individual,Silver
1980,Lake Placid,Skating,Speed skating,CAN,Men,1000M,Silver
1980,Lake Placid,Skating,Speed skating,GDR,Women,1000M,Bronze
1980,Lake Placid,Skating,Speed skating,GDR,Women,1500M,Bronze
1980,Lake Placid,Skating,Speed skating,GDR,Women,3000M,Silver
1980,Lake Placid,Skating,Speed skating,GDR,Women,500M,Gold
1980,Lake Placid,Skating,Speed skating,NED,Men,10000M,Silver
1980,Lake Placid,Skating,Speed skating,NED,Men,500M,Bronze
1980,Lake Placid,Skating,Speed skating,NED,Women,1500M,Gold
1980,Lake Placid,Skating,Speed skating,NED,Women,1500M,Silver
1980,Lake Placid,Skating,Speed skating,NOR,Men,10000M,Bronze
1980,Lake Placid,Skating,Speed skating,NOR,Men,1000M,Bronze
1980,Lake Placid,Skating,Speed skating,NOR,Men,1500M,Bronze
1980,Lake Placid,Skating,Speed skating,NOR,Men,1500M,Silver
1980,Lake Placid,Skating,Speed skating,NOR,Men,5000M,Bronze
1980,Lake Placid,Skating,Speed skating,NOR,Men,5000M,Silver
1980,Lake Placid,Skating,Speed skating,NOR,Women,3000M,Gold
1980,Lake Placid,Skating,Speed skating,URS,Men,1000M,Bronze
1980,Lake Placid,Skating,Speed skating,URS,Men,500M,Silver
1980,Lake Placid,Skating,Speed skating,URS,Women,1000M,Gold
1980,Lake Placid,Skating,Speed skating,URS,Women,500M,Bronze
1980,Lake Placid,Skating,Speed skating,USA,Men,10000M,Gold
1980,Lake Placid,Skating,Speed skating,USA,Men,1000M,Gold
1980,Lake Placid,Skating,Speed skating,USA,Men,1500M,Gold
1980,Lake Placid,Skating,Speed skating,USA,Men,5000M,Gold
1980,Lake Placid,Skating,Speed skating,USA,Men,500M,Gold
1980,Lake Placid,Skating,Speed skating,USA,Women,1000M,Silver
1980,Lake Placid,Skating,Speed skating,USA,Women,3000M,Bronze
1980,Lake Placid,Skating,Speed skating,USA,Women,500M,Silver
1980,Lake Placid,Skiing,Alpine Skiing,AUT,Men,Downhill,Gold
1980,Lake Placid,Skiing,Alpine Skiing,AUT,Men,Downhill,Silver
1980,Lake Placid,Skiing,Alpine Skiing,AUT,Men,Giant Slalom,Bronze
1980,Lake Placid,Skiing,Alpine Skiing,AUT,Women,Downhill,Gold
1980,Lake Placid,Skiing,Alpine Skiing,CAN,Men,Downhill,Bronze
1980,Lake Placid,Skiing,Alpine Skiing,FRA,Women,Giant Slalom,Bronze
1980,Lake Placid,Skiing,Alpine Skiing,FRG,Women,Giant Slalom,Silver
1980,Lake Placid,Skiing,Alpine Skiing,FRG,Women,Slalom,Silver
1980,Lake Placid,Skiing,Alpine Skiing,LIE,Men,Giant Slalom,Silver
1980,Lake Placid,Skiing,Alpine Skiing,LIE,Women,Downhill,Silver
1980,Lake Placid,Skiing,Alpine Skiing,LIE,Women,Giant Slalom,Gold
1980,Lake Placid,Skiing,Alpine Skiing,LIE,Women,Slalom,Gold
1980,Lake Placid,Skiing,Alpine Skiing,SUI,Men,Slalom,Bronze
1980,Lake Placid,Skiing,Alpine Skiing,SUI,Women,Downhill,Bronze
1980,Lake Placid,Skiing,Alpine Skiing,SUI,Women,Slalom,Bronze
1980,Lake Placid,Skiing,Alpine Skiing,SWE,Men,Giant Slalom,Gold
1980,Lake Placid,Skiing,Alpine Skiing,SWE,Men,Slalom,Gold
1980,Lake Placid,Skiing,Alpine Skiing,USA,Men,Slalom,Silver
1980,Lake Placid,Skiing,Cross Country Skiing,BUL,Men,30KM Mass Start,Bronze
1980,Lake Placid,Skiing,Cross Country Skiing,FIN,Men,15KM,Silver
1980,Lake Placid,Skiing,Cross Country Skiing,FIN,Men,50KM,Silver
1980,Lake Placid,Skiing,Cross Country Skiing,FIN,Women,10KM,Bronze
1980,Lake Placid,Skiing,Cross Country Skiing,FIN,Women,10KM,Silver
1980,Lake Placid,Skiing,Cross Country Skiing,FIN,Women,5KM,Silver
1980,Lake Placid,Skiing,Cross Country Skiing,GDR,Women,10KM,Gold
1980,Lake Placid,Skiing,Cross Country Skiing,NOR,Men,15KM,Bronze
1980,Lake Placid,Skiing,Cross Country Skiing,SWE,Men,15KM,Gold
1980,Lake Placid,Skiing,Cross Country Skiing,TCH,Women,5KM,Bronze
1980,Lake Placid,Skiing,Cross Country Skiing,URS,Men,30KM Mass Start,Gold
1980,Lake Placid,Skiing,Cross Country Skiing,URS,Men,30KM Mass Start,Silver
1980,Lake Placid,Skiing,Cross Country Skiing,URS,Men,50KM,Bronze
1980,Lake Placid,Skiing,Cross Country Skiing,URS,Men,50KM,Gold
1980,Lake Placid,Skiing,Cross Country Skiing,URS,Women,5KM,Gold
1980,Lake Placid,Skiing,Cross Country Skiing,FIN,Men,4X10KM Relay,Bronze
1980,Lake Placid,Skiing,Cross Country Skiing,GDR,Women,4X5KM Relay,Gold
1980,Lake Placid,Skiing,Cross Country Skiing,NOR,Men,4X10KM Relay,Silver
1980,Lake Placid,Skiing,Cross Country Skiing,NOR,Women,4X5KM Relay,Bronze
1980,Lake Placid,Skiing,Cross Country Skiing,URS,Men,4X10KM Relay,Gold
1980,Lake Placid,Skiing,Cross Country Skiing,URS,Women,4X5KM Relay,Silver
1980,Lake Placid,Skiing,Nordic Combined,FIN,Men,Individual,Silver
1980,Lake Placid,Skiing,Nordic Combined,GDR,Men,Individual,Bronze
1980,Lake Placid,Skiing,Nordic Combined,GDR,Men,Individual,Gold
1980,Lake Placid,Skiing,Ski Jumping,AUT,Men,K120 Individual (90M),Silver
1980,Lake Placid,Skiing,Ski Jumping,AUT,Men,K90 Individual (70M),Gold
1980,Lake Placid,Skiing,Ski Jumping,FIN,Men,K120 Individual (90M),Bronze
1980,Lake Placid,Skiing,Ski Jumping,FIN,Men,K120 Individual (90M),Gold
1980,Lake Placid,Skiing,Ski Jumping,GDR,Men,K90 Individual (70M),Silver
1980,Lake Placid,Skiing,Ski Jumping,JPN,Men,K90 Individual (70M),Silver
1984,Sarajevo,Biathlon,Biathlon,FRG,Men,10KM,Silver
1984,Sarajevo,Biathlon,Biathlon,FRG,Men,20KM,Gold
1984,Sarajevo,Biathlon,Biathlon,GDR,Men,10KM,Bronze
1984,Sarajevo,Biathlon,Biathlon,GDR,Men,20KM,Silver
1984,Sarajevo,Biathlon,Biathlon,NOR,Men,10KM,Gold
1984,Sarajevo,Biathlon,Biathlon,NOR,Men,20KM,Bronze
1984,Sarajevo,Biathlon,Biathlon,FRG,Men,4X7.5KM Relay,Bronze
1984,Sarajevo,Biathlon,Biathlon,NOR,Men,4X7.5KM Relay,Silver
1984,Sarajevo,Biathlon,Biathlon,URS,Men,4X7.5KM Relay,Gold
1984,Sarajevo,Bobsleigh,Bobsleigh,GDR,Men,Four-Man,Gold
1984,Sarajevo,Bobsleigh,Bobsleigh,GDR,Men,Four-Man,Silver
1984,Sarajevo,Bobsleigh,Bobsleigh,GDR,Men,Two-Man,Gold
1984,Sarajevo,Bobsleigh,Bobsleigh,GDR,Men,Two-Man,Silver
1984,Sarajevo,Bobsleigh,Bobsleigh,SUI,Men,Four-Man,Bronze
1984,Sarajevo,Bobsleigh,Bobsleigh,URS,Men,Two-Man,Bronze
1984,Sarajevo,Ice Hockey,Ice Hockey,SWE,Men,Ice Hockey,Bronze
1984,Sarajevo,Ice Hockey,Ice Hockey,TCH,Men,Ice Hockey,Silver
1984,Sarajevo,Ice Hockey,Ice Hockey,URS,Men,Ice Hockey,Gold
1984,Sarajevo,Luge,Luge,GDR,Women,Singles,Bronze
1984,Sarajevo,Luge,Luge,GDR,Women,Singles,Gold
1984,Sarajevo,Luge,Luge,GDR,Women,Singles,Silver
1984,Sarajevo,Luge,Luge,ITA,Men,Singles,Gold
1984,Sarajevo,Luge,Luge,URS,Men,Singles,Bronze
1984,Sarajevo,Luge,Luge,URS,Men,Singles,Silver
1984,Sarajevo,Luge,Luge,FRG,Men,Doubles,Gold
1984,Sarajevo,Luge,Luge,GDR,Men,Doubles,Bronze
1984,Sarajevo,Luge,Luge,URS,Men,Doubles,Silver
1984,Sarajevo,Skating,Figure skating,CAN,Men,Individual,Silver
1984,Sarajevo,Skating,Figure skating,GBR,Men,Ice Dancing,Gold
1984,Sarajevo,Skating,Figure skating,GBR,Women,Ice Dancing,Gold
1984,Sarajevo,Skating,Figure skating,GDR,Women,Individual,Gold
1984,Sarajevo,Skating,Figure skating,TCH,Men,Individual,Bronze
1984,Sarajevo,Skating,Figure skating,URS,Men,Ice Dancing,Bronze
1984,Sarajevo,Skating,Figure skating,URS,Men,Ice Dancing,Silver
1984,Sarajevo,Skating,Figure skating,URS,Men,Pairs,Bronze
1984,Sarajevo,Skating,Figure skating,URS,Men,Pairs,Gold
1984,Sarajevo,Skating,Figure skating,URS,Women,Ice Dancing,Bronze
1984,Sarajevo,Skating,Figure skating,URS,Women,Ice Dancing,Silver
1984,Sarajevo,Skating,Figure skating,URS,Women,Individual,Bronze
1984,Sarajevo,Skating,Figure skating,URS,Women,Pairs,Bronze
1984,Sarajevo,Skating,Figure skating,URS,Women,Pairs,Gold
1984,Sarajevo,Skating,Figure skating,USA,Men,Individual,Gold
1984,Sarajevo,Skating,Figure skating,USA,Men,Pairs,Silver
1984,Sarajevo,Skating,Figure skating,USA,Women,Individual,Silver
1984,Sarajevo,Skating,Figure skating,USA,Women,Pairs,Silver
1984,Sarajevo,Skating,Speed skating,CAN,Men,1000M,Gold
1984,Sarajevo,Skating,Speed skating,CAN,Men,1500M,Gold
1984,Sarajevo,Skating,Speed skating,CAN,Men,500M,Bronze
1984,Sarajevo,Skating,Speed skating,GDR,Men,10000M,Bronze
1984,Sarajevo,Skating,Speed skating,GDR,Men,5000M,Bronze
1984,Sarajevo,Skating,Speed skating,GDR,Women,1000M,Gold
1984,Sarajevo,Skating,Speed skating,GDR,Women,1000M,Silver
1984,Sarajevo,Skating,Speed skating,GDR,Women,1500M,Gold
1984,Sarajevo,Skating,Speed skating,GDR,Women,1500M,Silver
1984,Sarajevo,Skating,Speed skating,GDR,Women,3000M,Bronze
1984,Sarajevo,Skating,Speed skating,GDR,Women,3000M,Gold
1984,Sarajevo,Skating,Speed skating,GDR,Women,3000M,Silver
1984,Sarajevo,Skating,Speed skating,GDR,Women,500M,Gold
1984,Sarajevo,Skating,Speed skating,GDR,Women,500M,Silver
1984,Sarajevo,Skating,Speed skating,JPN,Men,500M,Silver
1984,Sarajevo,Skating,Speed skating,NOR,Men,1000M,Bronze
1984,Sarajevo,Skating,Speed skating,SWE,Men,10000M,Silver
1984,Sarajevo,Skating,Speed skating,SWE,Men,5000M,Gold
1984,Sarajevo,Skating,Speed skating,URS,Men,10000M,Gold
1984,Sarajevo,Skating,Speed skating,URS,Men,1000M,Silver
1984,Sarajevo,Skating,Speed skating,URS,Men,1500M,Bronze
1984,Sarajevo,Skating,Speed skating,URS,Men,1500M,Silver
1984,Sarajevo,Skating,Speed skating,URS,Men,5000M,Silver
1984,Sarajevo,Skating,Speed skating,URS,Men,500M,Gold
1984,Sarajevo,Skating,Speed skating,URS,Women,1000M,Bronze
1984,Sarajevo,Skating,Speed skating,URS,Women,1500M,Bronze
1984,Sarajevo,Skating,Speed skating,URS,Women,500M,Bronze
1984,Sarajevo,Skiing,Alpine Skiing,AUT,Men,Downhill,Bronze
1984,Sarajevo,Skiing,Alpine Skiing,FRA,Men,Slalom,Bronze
1984,Sarajevo,Skiing,Alpine Skiing,FRA,Women,Giant Slalom,Bronze
1984,Sarajevo,Skiing,Alpine Skiing,FRA,Women,Slalom,Silver
1984,Sarajevo,Skiing,Alpine Skiing,ITA,Women,Slalom,Gold
1984,Sarajevo,Skiing,Alpine Skiing,LIE,Men,Giant Slalom,Bronze
1984,Sarajevo,Skiing,Alpine Skiing,LIE,Women,Slalom,Bronze
1984,Sarajevo,Skiing,Alpine Skiing,SUI,Men,Downhill,Silver
1984,Sarajevo,Skiing,Alpine Skiing,SUI,Men,Giant Slalom,Gold
1984,Sarajevo,Skiing,Alpine Skiing,SUI,Women,Downhill,Gold
1984,Sarajevo,Skiing,Alpine Skiing,SUI,Women,Downhill,Silver
1984,Sarajevo,Skiing,Alpine Skiing,TCH,Women,Downhill,Bronze
1984,Sarajevo,Skiing,Alpine Skiing,USA,Men,Downhill,Gold
1984,Sarajevo,Skiing,Alpine Skiing,USA,Men,Slalom,Gold
1984,Sarajevo,Skiing,Alpine Skiing,USA,Men,Slalom,Silver
1984,Sarajevo,Skiing,Alpine Skiing,USA,Women,Giant Slalom,Gold
1984,Sarajevo,Skiing,Alpine Skiing,USA,Women,Giant Slalom,Silver
1984,Sarajevo,Skiing,Alpine Skiing,YUG,Men,Giant Slalom,Silver
1984,Sarajevo,Skiing,Cross Country Skiing,FIN,Men,15KM,Bronze
1984,Sarajevo,Skiing,Cross Country Skiing,FIN,Men,15KM,Silver
1984,Sarajevo,Skiing,Cross Country Skiing,FIN,Men,50KM,Bronze
1984,Sarajevo,Skiing,Cross Country Skiing,FIN,Women,10KM,Gold
1984,Sarajevo,Skiing,Cross Country Skiing,FIN,Women,20KM,Gold
1984,Sarajevo,Skiing,Cross Country Skiing,FIN,Women,5KM,Gold
1984,Sarajevo,Skiing,Cross Country Skiing,NOR,Women,10KM,Bronze
1984,Sarajevo,Skiing,Cross Country Skiing,NOR,Women,20KM,Bronze
1984,Sarajevo,Skiing,Cross Country Skiing,NOR,Women,5KM,Silver
1984,Sarajevo,Skiing,Cross Country Skiing,SWE,Men,15KM,Gold
1984,Sarajevo,Skiing,Cross Country Skiing,SWE,Men,30KM Mass Start,Bronze
1984,Sarajevo,Skiing,Cross Country Skiing,SWE,Men,50KM,Gold
1984,Sarajevo,Skiing,Cross Country Skiing,SWE,Men,50KM,Silver
1984,Sarajevo,Skiing,Cross Country Skiing,TCH,Women,5KM,Bronze
1984,Sarajevo,Skiing,Cross Country Skiing,URS,Men,30KM Mass Start,Gold
1984,Sarajevo,Skiing,Cross Country Skiing,URS,Men,30KM Mass Start,Silver
1984,Sarajevo,Skiing,Cross Country Skiing,URS,Women,10KM,Silver
1984,Sarajevo,Skiing,Cross Country Skiing,URS,Women,20KM,Silver
1984,Sarajevo,Skiing,Cross Country Skiing,FIN,Men,4X10KM Relay,Bronze
1984,Sarajevo,Skiing,Cross Country Skiing,FIN,Women,4X5KM Relay,Bronze
1984,Sarajevo,Skiing,Cross Country Skiing,NOR,Women,4X5KM Relay,Gold
1984,Sarajevo,Skiing,Cross Country Skiing,SWE,Men,4X10KM Relay,Gold
1984,Sarajevo,Skiing,Cross Country Skiing,TCH,Women,4X5KM Relay,Silver
1984,Sarajevo,Skiing,Cross Country Skiing,URS,Men,4X10KM Relay,Silver
1984,Sarajevo,Skiing,Nordic Combined,FIN,Men,Individual,Bronze
1984,Sarajevo,Skiing,Nordic Combined,FIN,Men,Individual,Silver
1984,Sarajevo,Skiing,Nordic Combined,NOR,Men,Individual,Gold
1984,Sarajevo,Skiing,Ski Jumping,FIN,Men,K120 Individual (90M),Gold
1984,Sarajevo,Skiing,Ski Jumping,FIN,Men,K90 Individual (70M),Bronze
1984,Sarajevo,Skiing,Ski Jumping,FIN,Men,K90 Individual (70M),Silver
1984,Sarajevo,Skiing,Ski Jumping,GDR,Men,K120 Individual (90M),Silver
1984,Sarajevo,Skiing,Ski Jumping,GDR,Men,K90 Individual (70M),Gold
1984,Sarajevo,Skiing,Ski Jumping,TCH,Men,K120 Individual (90M),Bronze
1988,Calgary,Biathlon,Biathlon,GDR,Men,10KM,Gold
1988,Calgary,Biathlon,Biathlon,GDR,Men,20KM,Gold
